dataset,specification,sample_size,outer_folds,model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,zipcode_representation
King County,Extended,21613,5,Ridge,0.1880666869933512,0.0011250505088865,0.1378778996880151,0.0008386513258006,0.872444162052124,0.0016621985290048,One-hot encoded
King County,Extended,21613,5,Random Forest,0.1769376316873829,0.0018766880117291,0.1243908768248934,0.0011569098387297,0.8870574567764471,0.0037606091164675,One-hot encoded
King County,Extended,21613,5,XGBoost,0.1679613677140589,0.0015473963434384,0.1212118206566246,0.0011470042764253,0.8982379002140222,0.002828165108765,One-hot encoded
King County,Extended,21613,5,TabPFN,0.15437337736035112,0.001546288762590815,0.10744802658104569,0.0009812634214612635,0.9140298884286253,0.0027248230317115244,Category-coded
King County,Parsimonious,21613,5,Ridge,0.3567603778223726,0.00528652157769,0.2854732696655412,0.0026025255999737,0.5409196614289457,0.0136216768444449,Not applicable
King County,Parsimonious,21613,5,Random Forest,0.3367216405434045,0.0050437185860786,0.2643439904829676,0.0023995851218936,0.5910047212978902,0.0136765833777029,Not applicable
King County,Parsimonious,21613,5,XGBoost,0.3333403755114916,0.0046050598645255,0.2629721754800164,0.0031813136599265,0.5991676649208745,0.0133426525567902,Not applicable
King County,Parsimonious,21613,5,TabPFN,0.3269661839455921,0.0052179525120985,0.2552510154093151,0.0032703847786427,0.614306702681406,0.0150163259079516,Not applicable
