dataset,specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params
California Housing,Extended,1000,5,XGBoost,3,0.2393232642387713,0.1783093024386436,0.8405692086294617,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,1000,5,XGBoost,4,0.283920569962237,0.2085214824800342,0.7533654636940764,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,1000,5,XGBoost,5,0.2523381105228096,0.1786512204434602,0.7856121344600142,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,1000,5,TabPFN,1,0.2231917577624429,0.1561029946474757,0.8581417563553374,{}
California Housing,Extended,1000,5,TabPFN,2,0.2293698056601883,0.1588333577709056,0.8236734164789661,{}
California Housing,Extended,1000,5,TabPFN,3,0.2348522689654663,0.1621715309851338,0.8464704817952111,{}
California Housing,Extended,1000,5,TabPFN,4,0.2393114593019149,0.16965734210388,0.8247785924478854,{}
California Housing,Extended,1000,5,TabPFN,5,0.2118346634619165,0.1469122703823117,0.8489124909414014,{}
California Housing,Parsimonious,2500,5,Ridge,1,0.4159498565149416,0.3021085257705148,0.4239509820396888,{'model__alpha': 10}
California Housing,Parsimonious,2500,5,Ridge,2,0.4168156368773647,0.32088503484818,0.4618523465213919,{'model__alpha': 10}
California Housing,Parsimonious,2500,5,Ridge,3,0.3926664751258112,0.2999294707367217,0.5158858546134193,{'model__alpha': 10}
California Housing,Parsimonious,2500,5,Ridge,4,0.4059095397461299,0.312147581590771,0.4956933269266343,{'model__alpha': 10}
California Housing,Parsimonious,2500,5,Ridge,5,0.4034551496620915,0.3148475883006782,0.5360595088540683,{'model__alpha': 1}
California Housing,Parsimonious,2500,5,Random Forest,1,0.3378828260967769,0.2593927845711303,0.6198896291285958,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,2500,5,Random Forest,2,0.3588920036069827,0.2782695950485746,0.601029294606241,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
California Housing,Parsimonious,2500,5,Random Forest,3,0.3388050923189488,0.2613635186136327,0.63958738523835,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,2500,5,Random Forest,4,0.3471902068079625,0.2640731934523163,0.6310469274892181,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
California Housing,Parsimonious,2500,5,Random Forest,5,0.3593814827985624,0.2719542689278548,0.6318853139230637,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,2500,5,XGBoost,1,0.3389889095936387,0.2610081005368117,0.6173969190191182,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Parsimonious,2500,5,XGBoost,2,0.3581839072033204,0.2802345205425649,0.6026020854291222,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
California Housing,Parsimonious,2500,5,XGBoost,3,0.3361756031308763,0.2567854189803039,0.6451600493403062,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
California Housing,Parsimonious,2500,5,XGBoost,4,0.3575197696329067,0.2702985159054595,0.6087662414261252,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}"
