dataset,specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params
California Housing,Parsimonious,2500,5,OLS,1,0.41772601503439327,0.30229495147477486,0.4190208739791793,{}
California Housing,Parsimonious,2500,5,OLS,2,0.41816626510193133,0.320636883350812,0.45835912338444784,{}
California Housing,Parsimonious,2500,5,OLS,3,0.39299298241244035,0.2993530662937938,0.5150804254599486,{}
California Housing,Parsimonious,2500,5,OLS,4,0.40511754171631253,0.3109217041886344,0.497659381893896,{}
California Housing,Parsimonious,2500,5,OLS,5,0.4033108062748443,0.31472335189232853,0.536391415697973,{}
California Housing,Extended,2500,5,OLS,1,0.31597877961532944,0.23698377968656298,0.6675752752992928,{}
California Housing,Extended,2500,5,OLS,2,0.33930292914562415,0.2570333907470638,0.643393986684312,{}
California Housing,Extended,2500,5,OLS,3,0.3404251539906531,0.25203752064183677,0.6361323801681086,{}
California Housing,Extended,2500,5,OLS,4,0.37471873786082566,0.2532682315236909,0.5702191905861886,{}
California Housing,Extended,2500,5,OLS,5,0.3350202518756392,0.25878899164140184,0.6801002701987475,{}
California Housing,Parsimonious,5000,5,OLS,1,0.39509276703086993,0.29445382650569857,0.48258581656285426,{}
California Housing,Parsimonious,5000,5,OLS,2,0.40920246284326,0.31637611871347965,0.4977266070379568,{}
California Housing,Parsimonious,5000,5,OLS,3,0.4547164538032486,0.32946373785418637,0.3969182623671421,{}
California Housing,Parsimonious,5000,5,OLS,4,0.4005765038577383,0.3131336282432653,0.49000354089696563,{}
California Housing,Parsimonious,5000,5,OLS,5,0.39949669501921076,0.3063618177554433,0.506061638963549,{}
California Housing,Extended,5000,5,OLS,1,0.31823768458712237,0.23456754677274302,0.6643061513270381,{}
California Housing,Extended,5000,5,OLS,2,0.3287082068770612,0.25183418756326803,0.6758957026004265,{}
California Housing,Extended,5000,5,OLS,3,0.3469696138018147,0.25976525043164356,0.6488620864727455,{}
California Housing,Extended,5000,5,OLS,4,0.35867638639702715,0.26038969403517415,0.5911144258470218,{}
California Housing,Extended,5000,5,OLS,5,0.3302828452827575,0.24522576237026705,0.6623875844520093,{}
California Housing,Parsimonious,10000,5,OLS,1,0.40691634190283904,0.3071474378344635,0.49121079401431855,{}
California Housing,Parsimonious,10000,5,OLS,2,0.4192273586962418,0.3109299963060483,0.46373297945481273,{}
California Housing,Parsimonious,10000,5,OLS,3,0.4102456838171271,0.31816502381414363,0.4788081279070383,{}
California Housing,Parsimonious,10000,5,OLS,4,0.3963214855644967,0.30279362505981244,0.5104270882847595,{}
California Housing,Parsimonious,10000,5,OLS,5,0.39624759043052166,0.307452311500419,0.4931919588518361,{}
California Housing,Extended,10000,5,OLS,1,0.3474023802385346,0.26055241679081437,0.6291543361888123,{}
California Housing,Extended,10000,5,OLS,2,0.3489656804447809,0.26288716038052456,0.6284243115348704,{}
California Housing,Extended,10000,5,OLS,3,0.35615852846602086,0.2735642161244522,0.6071775591809861,{}
California Housing,Extended,10000,5,OLS,4,0.34520757697731064,0.2616665505801851,0.6285650339770632,{}
California Housing,Extended,10000,5,OLS,5,0.34647775275810083,0.26512509851530514,0.6125096100795897,{}
California Housing,Parsimonious,20640,5,OLS,1,0.41774233070971817,0.313467622962204,0.4600087425490481,{}
California Housing,Parsimonious,20640,5,OLS,2,0.408165513407623,0.3092841481059639,0.48760846888190956,{}
California Housing,Parsimonious,20640,5,OLS,3,0.4036050431274435,0.31026381142689163,0.49549320970879296,{}
California Housing,Parsimonious,20640,5,OLS,4,0.3998017643444027,0.3081875463862709,0.5023925083600838,{}
California Housing,Parsimonious,20640,5,OLS,5,0.42066642498931733,0.31764104744973337,0.45823687189074525,{}
California Housing,Extended,20640,5,OLS,1,0.3557603467268948,0.27022284879839453,0.6083619882836692,{}
California Housing,Extended,20640,5,OLS,2,0.35122419640501557,0.2669141209775105,0.6205992520086798,{}
California Housing,Extended,20640,5,OLS,3,0.3520967513745864,0.2683201924928879,0.6160471605906932,{}
California Housing,Extended,20640,5,OLS,4,0.34552037732403124,0.2634528294393215,0.6283408510402906,{}
California Housing,Extended,20640,5,OLS,5,0.3720565426702485,0.2757672064108609,0.5762090923105105,{}
