dataset,specification,sample_size,outer_folds,model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
California Housing,Extended,20640,5,Random Forest,0.23183172927467094,0.009863769066988605,0.15943588705950812,0.004983201121300092,0.8338059252438231,0.013738872933559068
California Housing,Extended,20640,5,Ridge,0.35543868755948616,0.0097941384377781,0.26915106420364976,0.004250971783828082,0.6096860181512728,0.019655494038606832
California Housing,Extended,20640,5,TabPFN,0.18787283905035734,0.009664259277555166,0.11899064813026139,0.0036687678836770533,0.8907830639039661,0.010995640091260825
California Housing,Extended,20640,5,XGBoost,0.233187352317323,0.007529879701398671,0.16639187277185635,0.004289451909196274,0.8319378966496691,0.010628429811479436
California Housing,Parsimonious,20640,5,Random Forest,0.3525574861794988,0.007746324926982785,0.2659234506440574,0.005129763478913569,0.6160060549660485,0.016317385017326276
California Housing,Parsimonious,20640,5,Ridge,0.41009124935627594,0.008898171506743855,0.3120638737480475,0.003637858984723261,0.4805111366802458,0.020203093319148806
California Housing,Parsimonious,20640,5,TabPFN,0.3457413299956634,0.008157091884584829,0.25965235997199654,0.005941098870709761,0.6306958000951489,0.01675574335234729
California Housing,Parsimonious,20640,5,XGBoost,0.3512998968639637,0.008035366666100684,0.2651235477530179,0.005453105589626701,0.6187285350860166,0.016895641152131716
