specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params
Extended,1000,5,OLS,2,0.2261384435634178,0.103658076017772,0.7141207657882847,{}
Extended,1000,5,OLS,3,0.133398570359623,0.0993355068349185,0.901340884999163,{}
Extended,1000,5,OLS,4,0.1320228832429701,0.1002663284086901,0.8814245647890107,{}
Extended,1000,5,OLS,5,0.126415118087521,0.0927448455472247,0.9037463146718098,{}
Extended,1000,5,Random Forest,1,0.1419089924139036,0.0930649545906503,0.8766647281767929,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}"
Extended,1000,5,Random Forest,2,0.2027521405193184,0.1119631066056844,0.7701922300427807,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}"
Extended,1000,5,Random Forest,3,0.1670636128554724,0.1094154712668673,0.8452614214551186,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
Extended,1000,5,Random Forest,4,0.1444690746261286,0.1047531054319058,0.8580138173459386,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
Extended,1000,5,Random Forest,5,0.1530704716137394,0.1120556800628116,0.8588755774842616,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
Extended,1000,5,XGBoost,1,0.1342011210669721,0.0896542922641415,0.8896989237760659,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
Extended,1000,5,XGBoost,2,0.1919621284198089,0.1005408004513102,0.7940010883669963,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Extended,1000,5,XGBoost,3,0.1286292338232067,0.0924434440587513,0.9082694007847352,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Extended,1000,5,XGBoost,4,0.1322055296490305,0.0968320022472076,0.8810962526441507,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Extended,1000,5,XGBoost,5,0.1312805562245946,0.0947835210551256,0.8961945504739911,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Extended,1000,5,TabPFN,1,0.1200745273862813,0.0825349011750959,0.9116982655462984,{}
Extended,1000,5,TabPFN,2,0.1912380400257043,0.0922398999413675,0.795552228699539,{}
Extended,1000,5,TabPFN,3,0.1148873936865668,0.0813605961026097,0.926822154413068,{}
Extended,1000,5,TabPFN,4,0.122877376138791,0.0860125392374379,0.8972835126042762,{}
Extended,1000,5,TabPFN,5,0.1071212151174889,0.074532726952852,0.9308853173790872,{}
Extended,2000,5,OLS,1,0.1309861532407916,0.0975749482668337,0.8892578512548062,{}
Extended,2000,5,OLS,2,0.1799906755199824,0.1011405198624533,0.8255714969935688,{}
Extended,2000,5,OLS,3,0.1535756248554512,0.0965248891907516,0.870192261407533,{}
Extended,2000,5,OLS,4,0.1396537409494573,0.1033319123226143,0.8716913740451042,{}
Extended,2000,5,OLS,5,0.1592622308989661,0.09119683073062,0.8254229433138074,{}
Extended,2000,5,Random Forest,1,0.1367508941534625,0.0981689314759242,0.8792957619008311,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
Extended,2000,5,Random Forest,2,0.1871536713001493,0.1101301469966763,0.8114119623459504,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
Extended,2000,5,Random Forest,3,0.1505651335246828,0.0956440297437409,0.8752315358091627,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
Extended,2000,5,Random Forest,4,0.1387702610167189,0.0992842598149217,0.873309655538704,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
Extended,2000,5,Random Forest,5,0.1385244289533601,0.0931325044361567,0.8679269174164992,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}"
Extended,2000,5,XGBoost,1,0.1272468896824159,0.0903450318321632,0.8954903192875109,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Extended,2000,5,XGBoost,2,0.1617278172342933,0.093425091734519,0.859172687970343,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Extended,2000,5,XGBoost,3,0.1464365234833559,0.087407201000211,0.8819802143016827,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Extended,2000,5,XGBoost,4,0.1304479902987245,0.0927655220674755,0.8880496406426088,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}"
