dataset,specification,zipcode_representation,sample_size,outer_folds,model,fold,rmse,mae,r2,elapsed_seconds
King County,Extended,Category-coded,21613,5,TabPFN,1,0.15170472158145862,0.10621997586833423,0.9185612872992008,601.0090691000005
King County,Extended,Category-coded,21613,5,TabPFN,2,0.15473503248939388,0.10847971079440792,0.9119748783169765,584.5994688999999
King County,Extended,Category-coded,21613,5,TabPFN,3,0.15454614815334697,0.10836460011466759,0.9142893669435324,593.1094905999998
King County,Extended,Category-coded,21613,5,TabPFN,4,0.15539467000804547,0.10738756836376885,0.9134143463000457,601.4003054999994
King County,Extended,Category-coded,21613,5,TabPFN,5,0.15548631456951098,0.10678827776405002,0.9119095632833716,605.8407528000025
