dataset,specification,sample_size,outer_folds,model,zipcode_representation,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,result_source
Ames Housing,Parsimonious,1000,5,OLS,Not applicable,0.2360745311778105,0.0385481959999178,0.163863014568097,0.0094098172220077,0.6609718552653924,0.1044623189637642,5-fold sample-size experiment
Ames Housing,Parsimonious,1000,5,Ridge,Not applicable,0.2361937480315016,0.0383696727081357,0.163736578715225,0.0092913512153032,0.6607254310071106,0.1039111237146722,5-fold sample-size experiment
Ames Housing,Parsimonious,1000,5,Random Forest,Not applicable,0.2269671271661071,0.0255277061805425,0.1551569999003305,0.0094637834038402,0.6892520320834199,0.0609256648474387,5-fold sample-size experiment
Ames Housing,Parsimonious,1000,5,XGBoost,Not applicable,0.2223432390528242,0.0200926239817094,0.1560326753948801,0.0064292695898753,0.7026173777081962,0.0448048828986027,5-fold sample-size experiment
Ames Housing,Parsimonious,1000,5,TabPFN,Not applicable,0.2085304467240386,0.0322093269185957,0.1415202383547773,0.0103588559477151,0.735479810288986,0.0765272473558075,5-fold sample-size experiment
Ames Housing,Parsimonious,2000,5,OLS,Not applicable,0.2400262939863092,0.0281640101772664,0.166438700656122,0.0100949537026161,0.6474811585413829,0.0517442703142368,5-fold sample-size experiment
Ames Housing,Parsimonious,2000,5,Ridge,Not applicable,0.2399767349158211,0.0280623367303882,0.1663853331267778,0.0100712672206348,0.6476715163492004,0.0511140057378932,5-fold sample-size experiment
Ames Housing,Parsimonious,2000,5,Random Forest,Not applicable,0.217612794809417,0.0193833950082415,0.1504706523826089,0.0095625217321568,0.7107244159125982,0.0236571432652134,5-fold sample-size experiment
Ames Housing,Parsimonious,2000,5,XGBoost,Not applicable,0.2159256904889859,0.0171922889621676,0.1508761019427979,0.0073206190207198,0.7151337063173988,0.0179191341078351,5-fold sample-size experiment
Ames Housing,Parsimonious,2000,5,TabPFN,Not applicable,0.2051783573662166,0.0214442165532004,0.1408551159786543,0.0063088573767629,0.7428670233883657,0.0282703743359163,5-fold sample-size experiment
Ames Housing,Parsimonious,2930,5,OLS,Not applicable,0.2374552901820858,0.0227287424458243,0.1667870417699436,0.009069238081919,0.6585007973411734,0.061105473215674,5-fold sample-size experiment
Ames Housing,Parsimonious,2930,5,Ridge,Not applicable,0.2374500344345801,0.0225481400945898,0.1667442799734821,0.0090411855254796,0.6585515851521659,0.0605612342312724,5-fold sample-size experiment
Ames Housing,Parsimonious,2930,5,Random Forest,Not applicable,0.211451743923572,0.0139837470199269,0.1480381351750949,0.0059955315031123,0.7301153369921531,0.032012595666195,5-fold sample-size experiment
Ames Housing,Parsimonious,2930,5,XGBoost,Not applicable,0.2095227971843958,0.0119860895833558,0.1489701096258639,0.0057747489968975,0.7352116081775174,0.0263640326774772,5-fold sample-size experiment
Ames Housing,Parsimonious,2930,5,TabPFN,Not applicable,0.2019652961204286,0.0162944200763263,0.1399572190035951,0.0061724441217997,0.7534021590892581,0.0365036108611965,5-fold sample-size experiment
Ames Housing,Extended,1000,5,OLS,Not applicable,0.1519777945952521,0.0418267831613022,0.100641242387743,0.005392964520209,0.8554577254845313,0.0799012453824834,5-fold sample-size experiment
Ames Housing,Extended,1000,5,Ridge,Not applicable,0.1496492948968107,0.0440965493610839,0.0972781659634318,0.0059843984041744,0.8588265090801679,0.0840596718563233,5-fold sample-size experiment
Ames Housing,Extended,1000,5,Random Forest,Not applicable,0.1618528584057124,0.0248846704132403,0.1062504635915838,0.0079443664181138,0.8418015549009784,0.0415622022841594,5-fold sample-size experiment
Ames Housing,Extended,1000,5,XGBoost,Not applicable,0.1436557138367225,0.027078337097062,0.0948508120153072,0.0041564663240743,0.8738520432091879,0.0457261394516557,5-fold sample-size experiment
Ames Housing,Extended,1000,5,TabPFN,Not applicable,0.1312397104709664,0.0340715775261787,0.0833361326818726,0.0064900865286053,0.8924482957284537,0.0557713081703692,5-fold sample-size experiment
