"dataset","specification","sample_size","outer_folds","model","zipcode_representation","completed_folds","n_test_n_train_ratio","rmse_mean","rmse_sample_variance","rmse_std","rmse_corrected_se","mae_mean","mae_sample_variance","mae_std","mae_corrected_se","r2_mean","r2_sample_variance","r2_std","r2_corrected_se"
"California Housing","Parsimonious","1000","5","XGBoost","Not applicable","5","0.25","0.358317267727661","0.000359583115839287","0.0189626769164928","0.0127205503861932","0.275255931221977","0.000235417889360057","0.0153433337107702","0.0102926211536239","0.603992002505574","0.00223482138536881","0.0472738975055877","0.0317122945151556"
"California Housing","Parsimonious","1000","5","TabPFN","Not applicable","5","0.25","0.339518696034752","0.000418168912601916","0.0204491787757337","0.0137177261479759","0.259132820838114","0.000228987605003463","0.0151323364026664","0.010151079856427","0.643464768182576","0.00279304903863614","0.0528493049967182","0.0354523915608844"
"California Housing","Parsimonious","2500","5","OLS","Not applicable","5","0.25","0.407462722107984","0.000113003164332077","0.0106302946493537","0.00713101843704214","0.309585991440069","7.7042708452708E-05","0.00877739758998691","0.00588805730302607","0.485302244083089","0.00219217354327912","0.0468206529565653","0.0314082488285419"
"California Housing","Parsimonious","2500","5","Ridge","Not applicable","5","0.25","0.406959331585268","9.89108480372425E-05","0.00994539330731784","0.00667157264944024","0.309983640249373","7.75711974044886E-05","0.00880745124337845","0.00590821790661278","0.486688403791041","0.00198097490476399","0.0445081442520803","0.0298569708300054"
"California Housing","Parsimonious","2500","5","Random Forest","Not applicable","5","0.25","0.348430322325847","0.000108701826703217","0.0104260168186713","0.00699398470233156","0.267010672122702","6.24384573162532E-05","0.00790180089069911","0.00530068918088148","0.624687710077094","0.000224246917627242","0.0149748762140874","0.0100454523508033"
"California Housing","Parsimonious","2500","5","XGBoost","Not applicable","5","0.25","0.349847086718348","0.000126443798373106","0.0112447231345688","0.00754318959511809","0.268765817595206","9.57439393633819E-05","0.0097848832064252","0.00656389920043886","0.621577089614632","0.000312784671520188","0.017685719423314","0.0118639412584556"
"California Housing","Parsimonious","2500","5","TabPFN","Not applicable","5","0.25","0.337000540763187","0.00014457570891706","0.0120239639436028","0.00806592022107068","0.257382063836879","8.98788256073804E-05","0.00948044437815973","0.00635967542594126","0.648580700921563","0.000566939045708313","0.023810481845362","0.0159725567949762"
"California Housing","Parsimonious","5000","5","OLS","Not applicable","5","0.25","0.411816976510866","0.000601259394476968","0.0245205912342457","0.0164489126544777","0.311957825814415","0.000166266519458362","0.0128944375394339","0.0086498516609398","0.474659173165694","0.00196503796801083","0.0443287487756064","0.02973662868593"
"California Housing","Parsimonious","5000","5","Ridge","Not applicable","5","0.25","0.412380023378847","0.000566291573659576","0.0237968815952758","0.0159634334698651","0.313162373579266","0.000158914614347118","0.012606133996873","0.00845645176514377","0.473302005125116","0.00174670261907326","0.0417935715041592","0.0280359800717394"
"California Housing","Parsimonious","5000","5","Random Forest","Not applicable","5","0.25","0.352728740304484","8.16794172869619E-05","0.00903766658418875","0.00606265105206731","0.267277782106239","4.06244338713647E-05","0.00637372998105228","0.0042756280523584","0.614666446968766","0.000111497587724541","0.0105592418158001","0.00708335474729618"
"California Housing","Parsimonious","5000","5","XGBoost","Not applicable","5","0.25","0.351315196442659","0.000135105772401555","0.0116235008668454","0.0077972814224382","0.265910915449118","6.55283882906656E-05","0.00809496067258301","0.00543026470172491","0.617836341628033","0.000154903352636102","0.0124460175412098","0.00834904238138998"
"California Housing","Parsimonious","5000","5","TabPFN","Not applicable","5","0.25","0.342626483557434","8.14250455049508E-05","0.00902358274217901","0.00605320332363187","0.258310913735284","5.97784735800117E-05","0.0077316540002778","0.0051865511769388","0.636359213550309","0.000168669048509333","0.0129872648586734","0.00871212211973638"
