dataset,specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params,zipcode_representation
King County,Parsimonious,1000,5,TabPFN,5,0.3555914519944375,0.2848821224277308,0.5381387315212011,{},Not applicable
King County,Extended,1000,5,TabPFN,1,0.1823975270661897,0.1288390515525078,0.9113416806662992,{},Category-coded
King County,Extended,1000,5,TabPFN,2,0.1825109402641945,0.1281356359617722,0.8615854178541335,{},Category-coded
King County,Extended,1000,5,TabPFN,3,0.2036551004988934,0.1392651780215608,0.8523144964298096,{},Category-coded
King County,Extended,1000,5,TabPFN,4,0.1835915960179076,0.1320505773651094,0.8965985222644026,{},Category-coded
King County,Extended,1000,5,TabPFN,5,0.1692225507452134,0.1224228590358616,0.8954015152922744,{},Category-coded
King County,Parsimonious,2500,5,Ridge,1,0.3740431751544737,0.2997647891402944,0.5099586645915557,{'model__alpha': 10},Not applicable
King County,Parsimonious,2500,5,Ridge,2,0.3723947218561081,0.2912334317886151,0.5692351593868048,{'model__alpha': 1},Not applicable
King County,Parsimonious,2500,5,Ridge,3,0.3556780454623232,0.2862262772196166,0.5166508352881558,{'model__alpha': 1},Not applicable
King County,Parsimonious,2500,5,Ridge,4,0.3578370176507836,0.2962699611941415,0.5749332478822329,{'model__alpha': 10},Not applicable
King County,Parsimonious,2500,5,Ridge,5,0.3492338464313782,0.278847731680412,0.568287105752143,{'model__alpha': 10},Not applicable
King County,Parsimonious,2500,5,Random Forest,1,0.3747382191269012,0.295368217381767,0.5081357909267666,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}",Not applicable
King County,Parsimonious,2500,5,Random Forest,2,0.3654444692325133,0.2866912286228796,0.5851644165902106,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",Not applicable
King County,Parsimonious,2500,5,Random Forest,3,0.3550393583660934,0.2781020182122515,0.5183851661295993,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}",Not applicable
King County,Parsimonious,2500,5,Random Forest,4,0.3398629423259212,0.2778126563274569,0.6165628117355602,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",Not applicable
King County,Parsimonious,2500,5,Random Forest,5,0.3361938911830028,0.2616971869530247,0.5999244588739524,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",Not applicable
King County,Parsimonious,2500,5,XGBoost,1,0.3656282804807341,0.291021009163562,0.5317596833480993,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,2500,5,XGBoost,2,0.3483449354347376,0.2736938132618236,0.6230773669186721,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,2500,5,XGBoost,3,0.3499758106309158,0.2788833724579765,0.5320247218593963,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,2500,5,XGBoost,4,0.337121155150299,0.2752380054569663,0.6227244871007105,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Parsimonious,2500,5,XGBoost,5,0.3346449392560478,0.2673853001396961,0.6036025162356184,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 300, 'model__subsample': 0.8}",Not applicable
King County,Extended,2500,5,Ridge,1,0.2029684897326321,0.1522097448189492,0.8557065939172054,{'model__alpha': 0.1},One-hot encoded
King County,Extended,2500,5,Ridge,2,0.1979927521286451,0.1399605598544127,0.8782323850226753,{'model__alpha': 0.01},One-hot encoded
King County,Extended,2500,5,Ridge,3,0.1770053001817412,0.1301456644737672,0.8802930414501551,{'model__alpha': 0.1},One-hot encoded
King County,Extended,2500,5,Ridge,4,0.1944810509491284,0.1421751117218751,0.8744429246807953,{'model__alpha': 0.1},One-hot encoded
King County,Extended,2500,5,Ridge,5,0.1872825948196961,0.1422133977547907,0.8758470047634002,{'model__alpha': 0.1},One-hot encoded
King County,Extended,2500,5,Random Forest,1,0.2196096360725485,0.1558073883986677,0.8310757383743752,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,2500,5,Random Forest,2,0.2079012009763422,0.1440348059580874,0.865739824334565,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,2500,5,Random Forest,3,0.1830671286233702,0.1305675062804316,0.8719535347099203,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,2500,5,Random Forest,4,0.1977570273757845,0.140174208980226,0.8701773541639796,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,2500,5,Random Forest,5,0.1908607083852404,0.1405743611337692,0.8710576953035206,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",One-hot encoded
King County,Extended,2500,5,XGBoost,1,0.1919335775572383,0.1398955307096543,0.8709698620309819,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Extended,2500,5,XGBoost,2,0.1849494069695866,0.1310435037637913,0.8937475137551318,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Extended,2500,5,XGBoost,3,0.1662495972552109,0.1208577155548539,0.8943989932516526,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Extended,2500,5,XGBoost,4,0.1841115437186152,0.1331315276755513,0.8874750977560198,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Extended,2500,5,XGBoost,5,0.1804767885550399,0.1294296712341228,0.8847064333235313,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",One-hot encoded
King County,Parsimonious,2500,5,TabPFN,1,0.3519292274490816,0.2756526159197575,0.5661896422733057,{},Not applicable
King County,Parsimonious,2500,5,TabPFN,2,0.344144725911406,0.2639802145290125,0.6321121444688957,{},Not applicable
King County,Parsimonious,2500,5,TabPFN,3,0.3351697796094512,0.2638939570961198,0.5707833481975455,{},Not applicable
King County,Parsimonious,2500,5,TabPFN,4,0.3281624319258956,0.2630143996967727,0.6425096456195607,{},Not applicable
King County,Parsimonious,2500,5,TabPFN,5,0.3230635524255599,0.2549411983865643,0.6305647818339828,{},Not applicable
King County,Extended,2500,5,TabPFN,1,0.1758069969122664,0.128662394790033,0.8917416120646786,{},Category-coded
King County,Extended,2500,5,TabPFN,2,0.1722975515109363,0.1168006160992525,0.9077871539043644,{},Category-coded
King County,Extended,2500,5,TabPFN,3,0.1547399637968994,0.1083430600823167,0.9085145904466396,{},Category-coded
King County,Extended,2500,5,TabPFN,4,0.1678307988572036,0.1171205338793822,0.9064960561805804,{},Category-coded
King County,Extended,2500,5,TabPFN,5,0.1678790933082586,0.118956947811978,0.900240194061583,{},Category-coded
King County,Parsimonious,5000,5,Ridge,1,0.3674924954850684,0.2945521869699986,0.5361381036744315,{'model__alpha': 1},Not applicable
King County,Parsimonious,5000,5,Ridge,2,0.355567679502639,0.2858399833188492,0.5306144079491819,{'model__alpha': 10},Not applicable
King County,Parsimonious,5000,5,Ridge,3,0.3412686307721571,0.2776955874380227,0.5688940106725959,{'model__alpha': 10},Not applicable
King County,Parsimonious,5000,5,Ridge,4,0.3619724258017275,0.2882449995956789,0.5072473723794432,{'model__alpha': 10},Not applicable
King County,Parsimonious,5000,5,Ridge,5,0.3636401597582306,0.2907082985159935,0.5616348356466528,{'model__alpha': 10},Not applicable
King County,Parsimonious,5000,5,Random Forest,1,0.3521283824832068,0.2818769571238267,0.5741135596280518,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",Not applicable
King County,Parsimonious,5000,5,Random Forest,2,0.3452503817727262,0.2727949381665647,0.5574589777690095,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}",Not applicable
King County,Parsimonious,5000,5,Random Forest,3,0.3363098854012609,0.265822122529455,0.5813312145061239,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}",Not applicable
King County,Parsimonious,5000,5,Random Forest,4,0.3496918930882692,0.274432311838807,0.5401151523177168,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",Not applicable
King County,Parsimonious,5000,5,Random Forest,5,0.3457954633300776,0.2698638358322073,0.6036024720960305,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}",Not applicable
