"dataset","specification","sample_size","outer_folds","model","zipcode_representation","fold","rmse","mae","r2","best_params"
"Ames Housing","Parsimonious","1000","5","XGBoost","Not applicable","2","0.2567709400037974","0.1627915602433869","0.631425271250792","{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
"Ames Housing","Parsimonious","1000","5","XGBoost","Not applicable","3","0.211499373424171","0.1538183759706022","0.7519992266490758","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
"Ames Housing","Parsimonious","1000","5","XGBoost","Not applicable","4","0.2081674410745003","0.1463908223603645","0.7052037814024411","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}"
"Ames Housing","Parsimonious","1000","5","XGBoost","Not applicable","5","0.2234180311444815","0.1606789251106247","0.6993537592404404","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
"Ames Housing","Parsimonious","1000","5","TabPFN","Not applicable","1","0.1973098200227602","0.1400864801481466","0.7615678234828716","{}"
"Ames Housing","Parsimonious","1000","5","TabPFN","Not applicable","2","0.2639636149405678","0.1574508811947325","0.6104870085875314","{}"
"Ames Housing","Parsimonious","1000","5","TabPFN","Not applicable","3","0.1806922454499746","0.1327021555874455","0.8189852792486685","{}"
"Ames Housing","Parsimonious","1000","5","TabPFN","Not applicable","4","0.1957607335997151","0.1323760946322359","0.7392961355165096","{}"
"Ames Housing","Parsimonious","1000","5","TabPFN","Not applicable","5","0.2049258196071751","0.1449855802113262","0.747062804609349","{}"
"Ames Housing","Parsimonious","2000","5","OLS","Not applicable","1","0.2266364866559391","0.1704183648953189","0.6684707677598223","{}"
"Ames Housing","Parsimonious","2000","5","OLS","Not applicable","2","0.2782979133426826","0.1799635321729684","0.5829987663055568","{}"
"Ames Housing","Parsimonious","2000","5","OLS","Not applicable","3","0.2569000817734789","0.1687131530503331","0.6367676779661597","{}"
"Ames Housing","Parsimonious","2000","5","OLS","Not applicable","4","0.2055038556383469","0.158561319689834","0.7221626323928819","{}"
"Ames Housing","Parsimonious","2000","5","OLS","Not applicable","5","0.232793132521099","0.1545371334721558","0.6270059482824935","{}"
"Ames Housing","Parsimonious","2000","5","Ridge","Not applicable","1","0.2268227373538369","0.1704406806520018","0.6679256399741609","{'model__alpha': 10}"
"Ames Housing","Parsimonious","2000","5","Ridge","Not applicable","2","0.2779261988827907","0.1797408052744215","0.5841119753008616","{'model__alpha': 10}"
"Ames Housing","Parsimonious","2000","5","Ridge","Not applicable","3","0.2572299727547589","0.1688213053663177","0.6358342099610745","{'model__alpha': 10}"
"Ames Housing","Parsimonious","2000","5","Ridge","Not applicable","4","0.205628184438717","0.1584651444142092","0.7218263502756198","{'model__alpha': 10}"
"Ames Housing","Parsimonious","2000","5","Ridge","Not applicable","5","0.2322765811490023","0.1544587299269391","0.6286594062342854","{'model__alpha': 10}"
"Ames Housing","Parsimonious","2000","5","Random Forest","Not applicable","1","0.2110261667391966","0.1540735919258659","0.7125682163179048","{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}"
"Ames Housing","Parsimonious","2000","5","Random Forest","Not applicable","2","0.2477211289757694","0.1646531624042426","0.6695973355002649","{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
"Ames Housing","Parsimonious","2000","5","Random Forest","Not applicable","3","0.2253680875973885","0.1434946749381553","0.7204620082056314","{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
"Ames Housing","Parsimonious","2000","5","Random Forest","Not applicable","4","0.2033341955013233","0.1497858696367259","0.7279983427144846","{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
"Ames Housing","Parsimonious","2000","5","Random Forest","Not applicable","5","0.2006143952334074","0.1403459630080553","0.7229961768247052","{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
"Ames Housing","Parsimonious","2000","5","XGBoost","Not applicable","1","0.2092924836128543","0.1556746843492834","0.7172716015685603","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
"Ames Housing","Parsimonious","2000","5","XGBoost","Not applicable","2","0.2415907310651567","0.1608201864442189","0.685748053965181","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}"
"Ames Housing","Parsimonious","2000","5","XGBoost","Not applicable","3","0.2250081251994027","0.1455431401967319","0.7213542623687121","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
"Ames Housing","Parsimonious","2000","5","XGBoost","Not applicable","4","0.2008916239933534","0.1493131345524504","0.7344939841520656","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
"Ames Housing","Parsimonious","2000","5","XGBoost","Not applicable","5","0.2028454885741624","0.143029364171305","0.7168006295324749","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
"Ames Housing","Parsimonious","2000","5","TabPFN","Not applicable","1","0.1970680251240599","0.1419750033166486","0.7493345380899286","{}"
"Ames Housing","Parsimonious","2000","5","TabPFN","Not applicable","2","0.2350779655056336","0.1511099892653723","0.7024627897936238","{}"
"Ames Housing","Parsimonious","2000","5","TabPFN","Not applicable","3","0.2190911213367265","0.1395542092528852","0.735816579852755","{}"
"Ames Housing","Parsimonious","2000","5","TabPFN","Not applicable","4","0.1823891792891406","0.1362404018470405","0.7811488440539697","{}"
"Ames Housing","Parsimonious","2000","5","TabPFN","Not applicable","5","0.1922654955755227","0.1353959762113251","0.7455723651515518","{}"
"Ames Housing","Parsimonious","2930","5","OLS","Not applicable","1","0.2182653517493251","0.165355465115875","0.7117326890299913","{}"
"Ames Housing","Parsimonious","2930","5","OLS","Not applicable","2","0.2661455596292376","0.1775518914878459","0.5860781514531654","{}"
"Ames Housing","Parsimonious","2930","5","OLS","Not applicable","3","0.2561230266441935","0.1672388673824013","0.6014308109618467","{}"
"Ames Housing","Parsimonious","2930","5","OLS","Not applicable","4","0.2153154126838023","0.1528669043833717","0.7152323487129264","{}"
"Ames Housing","Parsimonious","2930","5","OLS","Not applicable","5","0.2314271002038708","0.1709220804802242","0.6780299865479372","{}"
"Ames Housing","Parsimonious","2930","5","Ridge","Not applicable","1","0.2184385741406766","0.1653510037105516","0.7112749510765577","{'model__alpha': 10}"
"Ames Housing","Parsimonious","2930","5","Ridge","Not applicable","2","0.2659602216718004","0.1774743107093369","0.5866544430026455","{'model__alpha': 10}"
"Ames Housing","Parsimonious","2930","5","Ridge","Not applicable","3","0.2558767698058874","0.1671481065482269","0.6021968740907232","{'model__alpha': 10}"
"Ames Housing","Parsimonious","2930","5","Ridge","Not applicable","4","0.2154266646888546","0.1528658034776619","0.7149379976819823","{'model__alpha': 10}"
"Ames Housing","Parsimonious","2930","5","Ridge","Not applicable","5","0.2315479418656821","0.1708821754216336","0.6776936599089208","{'model__alpha': 10}"
"Ames Housing","Parsimonious","2930","5","Random Forest","Not applicable","1","0.2002801421491588","0.1454474405584127","0.7572822265384579","{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
"Ames Housing","Parsimonious","2930","5","Random Forest","Not applicable","2","0.2334437103473612","0.1569721783258761","0.6815477983007053","{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
"Ames Housing","Parsimonious","2930","5","Random Forest","Not applicable","3","0.2171575936542502","0.148743522457043","0.7134789635557915","{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
"Ames Housing","Parsimonious","2930","5","Random Forest","Not applicable","4","0.2016696160850214","0.1405189670916824","0.7501833620836069","{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
"Ames Housing","Parsimonious","2930","5","Random Forest","Not applicable","5","0.2047076573820684","0.1485085674424603","0.7480843344822042","{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
"Ames Housing","Parsimonious","2930","5","XGBoost","Not applicable","1","0.1980556806900552","0.1468548160198267","0.7626438961367832","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}"
"Ames Housing","Parsimonious","2930","5","XGBoost","Not applicable","2","0.2294315738421932","0.1565625459062667","0.6924000433958265","{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
"Ames Housing","Parsimonious","2930","5","XGBoost","Not applicable","3","0.2101501574783014","0.1472363827805904","0.7316720504588066","{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
"Ames Housing","Parsimonious","2930","5","XGBoost","Not applicable","4","0.2033613145635565","0.1415640111220936","0.7459746272465326","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
"Ames Housing","Parsimonious","2930","5","XGBoost","Not applicable","5","0.2066152593478731","0.1526327923005421","0.7433674236496381","{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
"Ames Housing","Parsimonious","2930","5","TabPFN","Not applicable","1","0.182745093511155","0.1332477638642228","0.7979228312010804","{}"
"Ames Housing","Parsimonious","2930","5","TabPFN","Not applicable","2","0.225617434849139","0.1472551619809864","0.7025422998842497","{}"
"Ames Housing","Parsimonious","2930","5","TabPFN","Not applicable","3","0.2095520070183106","0.1412058697020367","0.7331973604759567","{}"
"Ames Housing","Parsimonious","2930","5","TabPFN","Not applicable","4","0.1946501151540097","0.1339951966419643","0.7672714058180959","{}"
"Ames Housing","Parsimonious","2930","5","TabPFN","Not applicable","5","0.1972618300695291","0.1440821028287655","0.7660768980669078","{}"
"Ames Housing","Extended","1000","5","OLS","Not applicable","1","0.1419139577227287","0.1072014551301101","0.8766560971743889","{}"
"Ames Housing","Extended","1000","5","OLS","Not applicable","2","0.2261384435634178","0.103658076017772","0.7141207657882847","{}"
"Ames Housing","Extended","1000","5","OLS","Not applicable","3","0.133398570359623","0.0993355068349185","0.901340884999163","{}"
"Ames Housing","Extended","1000","5","OLS","Not applicable","4","0.1320228832429701","0.1002663284086901","0.8814245647890107","{}"
"Ames Housing","Extended","1000","5","OLS","Not applicable","5","0.126415118087521","0.0927448455472247","0.9037463146718098","{}"
"Ames Housing","Extended","1000","5","Ridge","Not applicable","1","0.141747005180286","0.1062583331442865","0.8769461386274956","{'model__alpha': 100}"
"Ames Housing","Extended","1000","5","Ridge","Not applicable","2","0.2276098902771388","0.1003731774060294","0.7103883209732407","{'model__alpha': 10}"
"Ames Housing","Extended","1000","5","Ridge","Not applicable","3","0.1252828853973988","0.0922048913774863","0.91298014423966","{'model__alpha': 10}"
"Ames Housing","Extended","1000","5","Ridge","Not applicable","4","0.1265528992580771","0.0949558049496518","0.8910466722671981","{'model__alpha': 10}"
"Ames Housing","Extended","1000","5","Ridge","Not applicable","5","0.127053794371153","0.0925986229397053","0.9027712692932452","{'model__alpha': 10}"
"Ames Housing","Extended","1000","5","Random Forest","Not applicable","1","0.1419089924139036","0.0930649545906503","0.8766647281767929","{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}"
"Ames Housing","Extended","1000","5","Random Forest","Not applicable","2","0.2027521405193184","0.1119631066056844","0.7701922300427807","{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}"
"Ames Housing","Extended","1000","5","Random Forest","Not applicable","3","0.1670636128554724","0.1094154712668673","0.8452614214551186","{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
