dataset,specification,sample_size,outer_folds,model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
King County,Extended,21613,5,Random Forest,0.1769376316873829,0.0018766880117291442,0.12439087682489344,0.0011569098387297606,0.8870574567764471,0.003760609116467515
King County,Extended,21613,5,Ridge,0.18806668699335122,0.00112505050888659,0.1378778996880151,0.0008386513258006063,0.872444162052124,0.0016621985290048362
King County,Extended,21613,5,TabPFN,0.1554732155677192,0.0015021996097900913,0.10837187821620606,0.0008302216753351184,0.912799150405661,0.002803325536028977
King County,Extended,21613,5,XGBoost,0.16796136771405895,0.0015473963434384736,0.12121182065662461,0.0011470042764253822,0.8982379002140222,0.0028281651087650526
King County,Parsimonious,21613,5,Random Forest,0.33672164054340453,0.00504371858607866,0.2643439904829676,0.0023995851218936415,0.5910047212978902,0.013676583377702958
King County,Parsimonious,21613,5,Ridge,0.3567603778223726,0.00528652157769008,0.2854732696655412,0.002602525599973746,0.5409196614289457,0.01362167684444492
King County,Parsimonious,21613,5,TabPFN,0.3269661839455921,0.005217952512098542,0.25525101540931516,0.003270384778642761,0.614306702681406,0.015016325907951603
King County,Parsimonious,21613,5,XGBoost,0.3333403755114916,0.004605059864525506,0.26297217548001645,0.0031813136599265477,0.5991676649208745,0.013342652556790232
