model,coverage_90_mean,coverage_90_sd,avg_interval_width_mean,avg_interval_width_sd,pinball_05_mean,pinball_05_sd,pinball_50_mean,pinball_50_sd,pinball_95_mean,pinball_95_sd,pinball_mean_mean,pinball_mean_sd
TabPFN,0.8938566552901024,0.016650253812492136,0.30550873238885773,0.00555814857052905,0.013019637363084143,0.0017346860222039802,0.03766545554874463,0.002094727619371996,0.009943288582688054,0.0006203957126238862,0.020209460498172276,0.0013639314587741537
Quantile Linear Regression,0.8716723549488055,0.0148473970881612,0.35930847413400374,0.007314347084538678,0.015861166831578975,0.0013087111697483215,0.041504057823313525,0.001901242341928386,0.011721744961767444,0.0009056001215490655,0.023028989872219983,0.0011265735586689046
XGBoost Quantile,0.8375426621160409,0.03784011853135172,0.34777265750507447,0.0247047396572612,0.015804029682305445,0.001758504640164179,0.04053343597974449,0.001731945291616745,0.013029400636179606,0.0012156485102549585,0.023122288766076513,0.0015077491595213881
