seed,model,coverage_90,avg_interval_width,pinball_05,pinball_50,pinball_95,pinball_mean,quantile_crossings_fixed
42,Quantile Linear Regression,0.8856655290102389,0.3700422122109279,0.015272978506469935,0.040233356365479186,0.011292238918395755,0.022266191263448292,2
123,Quantile Linear Regression,0.8754266211604096,0.36032930719172607,0.017323393904734707,0.04007330938855921,0.010746409156778755,0.02271437081669089,4
456,Quantile Linear Regression,0.8464163822525598,0.3520854155027483,0.01692594311976338,0.04474069412747008,0.013157328151086384,0.024941321799439947,2
789,Quantile Linear Regression,0.8771331058020477,0.361244121283667,0.01571443050166508,0.04153491032408558,0.011910481295499053,0.02305327404041657,2
2025,Quantile Linear Regression,0.8737201365187713,0.3528413144809494,0.014069088125261767,0.04093801891097358,0.011502267287077273,0.022169791441104206,1
42,XGBoost Quantile,0.878839590443686,0.3829409905261147,0.014477184526566649,0.03840047042007772,0.011623273531563703,0.021500309492736024,2
42,TabPFN,0.9146757679180887,0.31135423842550547,0.01111280851670242,0.035034096654528724,0.009155949813403941,0.01843428499487836,0
123,XGBoost Quantile,0.8532423208191127,0.35991877826000646,0.01642540875817966,0.04032419208863588,0.012624351169736215,0.023124650672183916,6
123,TabPFN,0.9027303754266212,0.3086569431291912,0.013987520000782386,0.03681841695140969,0.009497016417393402,0.02010098445652849,0
456,XGBoost Quantile,0.7815699658703071,0.3256748577026783,0.018621754976783166,0.04317470329923548,0.014965579479008792,0.02558734591834248,16
456,TabPFN,0.8873720136518771,0.3020820471207031,0.015422388394198327,0.040773381135832426,0.010625788587239997,0.02227385270575692,0
789,XGBoost Quantile,0.8191126279863481,0.3239682558860387,0.01458614574789234,0.040822200343585115,0.013048586102456924,0.022818977397978127,10
789,TabPFN,0.89419795221843,0.3078366155917328,0.01173132928324097,0.03815250685100158,0.01044559754053331,0.02010981122492529,0
2025,XGBoost Quantile,0.8549488054607508,0.34636040515053396,0.014909654402105411,0.03994561374718824,0.012885212898132386,0.022580160349142012,4
2025,TabPFN,0.8703071672354948,0.29761381767715606,0.012844140620496622,0.03754887615095072,0.009992090554869621,0.02012836910877232,0
