model,mean_coverage,se_coverage,mean_width,se_width,mean_pinball_loss,se_pinball_loss
Quantile Linear Regression,0.8716723549488055,0.006639957835612176,0.35930847413400374,0.003271075458411164,0.023028989872219918,0.0005038190117675048
XGBoost Quantile,0.8375426621160409,0.01692261546255039,0.3477726575050744,0.011048295448014184,0.023122288766076478,0.0006742859227415891
TabPFN,0.8938566552901024,0.0074462198734714935,0.3055087323888577,0.0024856796065492394,0.02020946049817222,0.0006099686916938999
