model,coverage_90,avg_interval_width,pinball_05,pinball_50,pinball_95,pinball_mean,quantile_crossings_fixed
OLS,0.9402730375426621,0.4674812304343798,0.015344458718563566,0.04698164407704644,0.013166093833619327,0.025164065543076444,0
XGBoost Quantile,0.8276450511945392,0.3534533432319303,0.01615616015268807,0.043379919210904054,0.011792329497436587,0.02377613628700957,4
TabPFN,0.8822525597269625,0.3003098631067894,0.013233717901156156,0.03795508651501219,0.009207703798364416,0.020132169404844254,0
